match_id,date,city,venue,team1,team2,winner,target,dls,outcome,eliminator,player_of_match,season
335982,2008-04-18,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,223.0,0,,,BB McCullum,2008
335983,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,241.0,0,,,MEK Hussey,2008
335984,2008-04-19,Delhi,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,130.0,0,,,MF Maharoof,2008
335985,2008-04-20,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,166.0,0,,,MV Boucher,2008
335986,2008-04-20,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,111.0,0,,,DJ Hussey,2008
335987,2008-04-21,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,167.0,0,,,SR Watson,2008
335988,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Delhi Capitals,143.0,0,,,V Sehwag,2008
335989,2008-04-23,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,209.0,0,,,ML Hayden,2008
335990,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,215.0,0,,,YK Pathan,2008
335991,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,183.0,0,,,KC Sangakkara,2008
335992,2008-04-26,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,136.0,0,,,SR Watson,2008
335993,2008-04-26,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,148.0,0,,,JDP Oram,2008
335994,2008-04-27,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,155.0,0,,,AC Gilchrist,2008
335995,2008-04-27,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,159.0,0,,,SM Katich,2008
335996,2008-04-28,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,179.0,0,,,MS Dhoni,2008
335997,2008-04-29,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,138.0,0,,,ST Jayasuriya,2008
335998,2008-04-30,Delhi,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,192.0,0,,,GD McGrath,2008
